,Date,Type,Price,Size,Amount,Balance,Return
0,2017-12-08 00:00:00+00:00,BUY,456.031005859375,193.26238297006162,0.42379219940509355,1806.7376170299383,
1,2017-12-12 00:00:00+00:00,SELL,651.4310302734375,276.0713890803062,0.42379219940509355,2082.8090061102444,0.42847969086189186
2,2018-01-28 00:00:00+00:00,BUY,1246.010009765625,194.5016892600755,0.15609962017613432,1888.307316850169,
3,2018-01-29 00:00:00+00:00,SELL,1182.3599853515625,184.56594462483864,0.15609962017613432,2072.8732614750074,-0.0510830763117507
4,2018-03-05 00:00:00+00:00,BUY,853.6840209960938,125.51655041255344,0.14702928405067076,1947.356711062454,
5,2018-03-07 00:00:00+00:00,SELL,752.8309936523438,110.68820200785916,0.14702928405067076,2058.044913070313,-0.1181385909344688
6,2018-04-14 00:00:00+00:00,BUY,501.4779968261719,161.41203571014955,0.3218726180046142,1896.6328773601635,
7,2018-04-20 00:00:00+00:00,SELL,615.718017578125,198.18277027048217,0.3218726180046142,2094.815647630646,0.22780664650288204
8,2018-07-18 00:00:00+00:00,BUY,480.5130004882813,151.33772616373244,0.31495032602645107,1943.4779214669134,
9,2018-07-20 00:00:00+00:00,SELL,450.697998046875,141.9474814243321,0.31495032602645107,2085.4254028912455,-0.06204827426335869
10,2018-07-24 00:00:00+00:00,BUY,479.37298583984375,155.42536213559552,0.324226368040527,1930.00004075565,
11,2018-07-31 00:00:00+00:00,SELL,433.8670043945313,140.67112304746226,0.324226368040527,2070.671163803112,-0.09492813068218192
12,2018-09-30 00:00:00+00:00,BUY,232.84800720214844,139.68363328652538,0.5998918992905882,1930.9875305165865,
13,2018-10-03 00:00:00+00:00,SELL,220.4889984130859,132.2695640307056,0.5998918992905882,2063.257094547292,-0.05307758025316903
14,2018-11-06 00:00:00+00:00,BUY,218.45199584960935,205.02794703478966,0.9385492049975991,1858.2291475125025,
15,2018-11-13 00:00:00+00:00,SELL,206.8260040283203,194.11638165361026,0.9385492049975991,2052.345529166113,-0.05321989289259136
16,2018-12-21 00:00:00+00:00,BUY,109.49623107910156,141.68856847105218,1.2940040682194298,1910.656960695061,
17,2018-12-24 00:00:00+00:00,SELL,140.23800659179688,181.46855104876838,1.2940040682194298,2092.125511743829,0.2807564717957009
18,2019-02-11 00:00:00+00:00,BUY,121.29839324951172,170.91339958358003,1.4090326755772424,1921.212112160249,
19,2019-02-18 00:00:00+00:00,SELL,146.09837341308594,205.85738198772353,1.4090326755772424,2127.0694941479724,0.20445431715291112
20,2019-03-19 00:00:00+00:00,BUY,140.51919555664062,177.05911528134843,1.2600350762040853,1950.010378866624,
21,2019-04-07 00:00:00+00:00,SELL,174.53164672851562,219.91599678558967,1.2600350762040853,2169.9263756522137,0.24204843357621716
22,2019-05-07 00:00:00+00:00,BUY,169.7986602783203,178.05594736152833,1.0486298718121412,1991.8704282906854,
23,2019-05-14 00:00:00+00:00,SELL,217.14857482910156,227.70848218722992,1.0486298718121412,2219.578910477915,0.27885917635138635
24,2019-06-14 00:00:00+00:00,BUY,264.08746337890625,186.09819422064794,0.7046839400840424,2033.4807162572672,
25,2019-06-25 00:00:00+00:00,SELL,318.1263122558594,224.1785031648654,0.7046839400840424,2257.6592194221325,0.20462481704184302
26,2019-09-15 00:00:00+00:00,BUY,189.78912353515625,170.13134437015452,0.896423046806682,2087.527875051978,
27,2019-09-24 00:00:00+00:00,SELL,168.11073303222656,150.69833550565323,0.896423046806682,2238.226210557631,-0.1142235661303006
28,2019-10-29 00:00:00+00:00,BUY,190.3425750732422,186.51248022585332,0.9798778867738073,2051.7137303317777,
29,2019-11-15 00:00:00+00:00,SELL,180.52117919921875,176.88871159164626,0.9798778867738073,2228.602441923424,-0.0515985237156965
30,2020-01-06 00:00:00+00:00,BUY,144.3041534423828,191.62757466077224,1.3279421977087065,2036.9748672626517,
31,2020-01-18 00:00:00+00:00,SELL,175.3656768798828,232.87548235854646,1.3279421977087065,2269.8503496211983,0.21525037704408212
32,2020-04-06 00:00:00+00:00,BUY,169.13587951660156,186.49144051248172,1.1026131241075707,2083.3589091087165,
33,2020-04-10 00:00:00+00:00,SELL,158.41244506835938,174.66764095434266,1.1026131241075707,2258.026550063059,-0.06340129887809892
34,2020-05-16 00:00:00+00:00,BUY,200.6771240234375,161.6382084743548,0.8054640470902739,2096.388341588704,
35,2020-05-30 00:00:00+00:00,SELL,242.34559631347656,195.20066480115858,0.8054640470902739,2291.5890063898623,0.20763937341045657
36,2020-06-23 00:00:00+00:00,BUY,244.14215087890625,195.34665403421477,0.8001348940810556,2096.2423523556477,
37,2020-06-26 00:00:00+00:00,SELL,229.6680450439453,183.7654168950403,0.8001348940810556,2280.007769250688,-0.05928556696520655
38,2020-07-08 00:00:00+00:00,BUY,246.6700134277344,203.0320680476594,0.8230918109028305,2076.9757012030286,
